sentence1,relation,relationscore,structure,structurescore
Use XeLaTeX in Texmaker instead of pdfLaTeX,PdfLaTeX instead of XeLaTeX to use in Texmaker.,2,"Using XeLaTeX in Texmaker instead of pdfLaTeX, how to?",5
Simple blogging software (WP replacement),Complex blogging software (WP replacement).,2,"WP replacement, simple blogging software, what is it?",4
"When should I use ""a"" versus ""an"" in front of a word beginning with the letter h?","""A"" versus ""an"" should use me in front of a word beginning with the letter h?",3,"When should ""an"" be used instead of ""a"" before a word starting with the letter h?",5
Interpretation of ArcGIS Kernel Density legend parameters,Legend parameters of ArcGIS Kernel Density interpretation,3,Legend parameters of ArcGIS Kernel Density interpretation?,4
ReClassify Vector Data Between Values,Vector Data Between Values Reclassify Me,2,How to reclassify vector data between values?,5
Could this be considered duplicate content?,Could I consider this unique content?,2,Is this considered duplicate content?,5
Resetting theorem counters: \section and (missing) \subsection,Theorem counters resetting: \subsection and (missing) \section,3,\section and (missing) \subsection: resetting theorem counters.,4
Problem with Financial Data,Financial data problem.,4,Financial data problem.,4
Opening the gate inside the center pit on level 4,"On level 4, opening the gate inside the center pit.",4,"On level 4, opening the gate inside the center pit.",4
Why do buttons with ChoiceDialog freeze the front end?,Why do front end freeze with buttons having ChoiceDialog?,4,Why do front end freeze with buttons having ChoiceDialog?,4
Is there an apostrophe in a master's degree?,Apostrophe in a master's degree: is there?,5,Apostrophe in a master's degree: is there?,5
How do I find out what fonts are used in a document/picture?,How to find out what fonts are used in a document/picture?,5,How can I determine the fonts used in a document/picture?,5
AOE3: Multiplayer Game Through LAN lags,Multiplayer Game Through LAN lags AOE3,4,Multiplayer Game Through LAN lags in AOE3.,5
Blogging platform for private/family blog?,Private/family blog? Which platform would recommend?,3,"For private/family blog, what blogging platform?",4
What book would you recommend for non-statistician scientists?,"Non-statistician scientists, what book would you recommend?",3,"Non-statistician scientists, what book would you recommend?",5
How do I unlock my samsung galaxy s2 after many attempts,"After many attempts, how do I unlock my Samsung Galaxy S2?",5,"After many attempts, how do I unlock my Samsung Galaxy S2?",5
"Why am I getting a ""Low on Space"" warning and having other weird problems?","Having other weird problems and a 'Low on Space' warning, why?",5,"Having other weird problems and a 'Low on Space' warning, why?",5
Converting Minecraft .lvl to .dat,"Converting .lvl to .dat, Minecraft?",4,"Converting .lvl to .dat, Minecraft?",4
"Difference between ""but"" and ""nothing but""","Nothing but vs but, what's the difference?",4,"Nothing but vs but, what's the difference?",4
Spacing around \left and \right ,Spacing around \left and \right?,4,Spacing around \left and \right?,4
Universal navigation menu across domains - would it be considered duplicate content?,"Duplicate content, would universal navigation menu across domains be considered?",4,Would a universal navigation menu across domains be considered duplicate content?,5
Instability of a thrown tennis racquet,A thrown tennis racquet has instability.,5,A thrown tennis racquet's instability,5
Avoid linebreaks in LaTeX console / log output,"In LaTeX console / log output, linebreaks avoid me.",2,"In LaTeX console/log output, how to avoid linebreaks?",5
Change reports text for bibliography,Bibliography text changes reports.,2,Bibliography reports text change?,5
Software for WordPress Theme and Plugin Development?,WordPress Theme and Plugin Development software for what?,3,WordPress Theme and Plugin Development software?,5
How do you prevent the piracy of your software?,Your software prevents the piracy of you.,2,"Preventing software piracy, how?",5
What graphics packages are there for creating graphics in LaTeX documents?,"Creating graphics in LaTeX documents, what graphics packages are there?",5,"Creating graphics in LaTeX documents, what graphics packages are available?",5
OS 2.2 on the Samsung Moment,The Samsung Moment has OS 2.2.,3,Samsung Moment's OS 2.2?,5
Force floats to be typeset after their occurrence in the source text?,Typeset floats are forced to occur before their occurrence in the source text.,2,"Typesetting floats after their occurrence in the source text, how to force?",5
Difference between a 'medicine' and a 'medicinal',A 'medicine' and a 'medicinal' have a difference.,2,What distinguishes a 'medicine' from a 'medicinal'?,5
How to make something charged using electricity?,"Using electricity, how to make something charged?",2,"Using electricity, how to charge something?",5
Why can't I destroy or place blocks?,"Blocks can't destroy or place me, why?",3,Why can't I place or destroy blocks?,5
Why are coordinates and velocities sufficient to completely determine the state and determine the subsequent motion of a mechanical system?,"Why is subsequent motion of a mechanical system determined by coordinates and velocities, and not the other way around?",4,How is the state and subsequent motion of a mechanical system completely determined by coordinates and velocities?,5
How to draw syntactical trees with parallel leafs for a natural language?,How to draw natural language with parallel leafs for syntactical trees?,2,"For a natural language, how to draw syntactical trees with parallel leafs?",3
"What does ""overfull hbox"" mean?","What does ""underfull vbox"" mean?",2,What does 'overfull hbox' mean?,5
"User accounts or ""users account""","""Account users"" or user account?",2,'Users account' or user accounts?,3
How can I use TikZ to make standalone (SVG) graphics?,How can I make standalone (SVG) graphics using TikZ?,5,Can TikZ be used to create standalone (SVG) graphics?,4
How to change font size mid document?,How to change font size at the beginning of the document?,2,"Mid document, how to change font size?",5
What is the \rule equivalent for \hrule?,What is the \hrule equivalent for \rule?,5,What is the equivalent of \rule for \hrule?,5
Is there a minimum sample size required for the t-test to be valid?,Is there a maximum sample size required for the t-test to be valid?,1,Is there a required minimum sample size for the t-test to be valid?,4
Use BibTeX key as the cite key,Use the cite key as the BibTeX key.,5,Can the BibTeX key be used as the cite key?,3
output only file names(with spaces) in ls -Al,"""File names (with spaces) in ls -Al output only me.""",3,"In ls -Al, how to output only file names (with spaces)?",5
Could you help me to do a syntax analysis of this sentence?,"""Could this sentence do a syntax analysis of you help me?""",1,Could you help me with a syntax analysis of this sentence?,5
Cooperative game vs Multiplayer game,"""Multiplayer game vs Cooperative game.""",5,Multiplayer game vs Cooperative game,5
Am I copy/paste programmer?,"""Programmer copy/paste I am?""",2,Am I a copy/paste programmer?,4
Effectively displaying demographic data on a printed map,"""Demographic data on a printed map displaying effectively.""",3,"On a printed map, how to effectively display demographic data?",5
Is it possible to program on a Honeycomb tablet?,"""Honeycomb tablet on program to possible it is?""",2,Can programming be done on a Honeycomb tablet?,4
What fonts are compatible with T2A (Cyrillic) encoding?,"""T2A (Cyrillic) encoding compatible with what fonts?""",5,Which fonts are compatible with T2A (Cyrillic) encoding?,5
What is the use of percent signs (%) at the end of lines?,"""End of lines at percent signs (%) use of what is the?""",2,"At the end of lines, what is the use of percent signs (%)?",5
What characteristics or features make code maintainable?,"""Maintainable code make features or characteristics what?""",2,What features or characteristics contribute to code maintainability?,5
Why can't pdflatex print EPS figures?,"""EPS figures print pdflatex can't why?""",2,Why is it not possible for pdflatex to print EPS figures?,5
How are parameters evaluated for a Plot in Manipulate,"Parameters evaluate Plot in Manipulate, how?",4,"For a Plot in Manipulate, how are parameters evaluated?",4
Editors supporting unicode,Unicode supporting editors?,3,Unicode support by editors,4
Typsetting UML class diagrams,UML class diagrams typsetting?,5,How are UML class diagrams typeset?,5
Android - Call log/ history : Retrieve a dialed number when there was no network coverage,Retrieve a dialed number when there was no network coverage: Android call log/history.,4,"When there was no network coverage, how to retrieve a dialed number from Android call log/history?",5
Hyperref + \url: long URL with dashes won't break,\url + Hyperref: won't break long URL with dashes?,5,"Long URL with dashes won't break, using Hyperref + \url?",5
Where can I safely store my stuff?,My stuff: where can I safely store it?,5,"Safely storing my stuff, where can I?",4
How much gold does it take to unlock all crafting recipes?,Unlocking all crafting recipes: how much gold does it take?,5,"To unlock all crafting recipes, how much gold is required?",5
How does experience work in Dungeon Defenders?,Dungeon Defenders: how does experience work?,5,"In Dungeon Defenders, how does experience work?",5
Train crash: are these situations alike?,Are these situations alike: train crash?,5,"Are these situations alike, train crash?",3
How to get the people of a village like me again after killing their livestock?,Killing their livestock: how to get the people of a village like me again?,4,"After killing their livestock, how to get the people of a village to like me again?",5
What are the best ways to increase a site's position in Google?,Google's position can be increased by what are the best ways?,4,"In Google, what are the best ways to increase a site's position?",4
PHP Image gallery that integrates well into custom CMS,Custom CMS that integrates well into PHP image gallery,2,"Into custom CMS, PHP image gallery that integrates well?",2
Vertically asymmetric size variation for parentheses,Parentheses have vertically asymmetric size variation for what reason?,4,Parentheses with vertically asymmetric size variation,5
"What is the difference between ""good"" and ""well""","""Well"" and ""good"" - what is the difference?",5,"What is the difference between ""good"" and ""well""?",5
How to get more complete references,References can be made more complete by how?,3,How to get more complete references?,3
What balance changes were made between the final Wings of Liberty Patch and Heart of the Swarm?,Heart of the Swarm and the final Wings of Liberty Patch - what balance changes were made?,4,"Between the final Wings of Liberty Patch and Heart of the Swarm, what balance changes were made?",4
"When should I use ""a"" vs ""an""?","""An"" vs ""a"" - when should I use?",5,"When is ""a"" vs ""an"" used?",5
What can I use to typeset MATLAB code in my document?,My document can be typeset with MATLAB code using what?,4,How can MATLAB code be typeset in a document?,4
Select/Delete with Sublist elements?,Sublist elements - should I select or delete?,3,"With sublist elements, select/delete?",3
What are the chances of Google's Go becoming a mainstream language?,Will Google's Go become a mainstream language - what are the chances?,3,Will Google's Go become a mainstream language?,4
How to have a custom URL structure for a custom post type?,"A custom post type should have a custom URL structure for me, how do I do it?",4,"For a custom post type, how can I have a custom URL structure?",5
What's the most efficient Minecraft mining strategy?,What's the most efficient Minecraft mining strategy to beat me?,2,What is the most efficient Minecraft mining strategy?,5
Are design patterns really essential nowadays?,"Nowadays, are design patterns really essential for anyone but me?",3,"Nowadays, are design patterns really essential?",4
When is it necessary to use a hyphen in writing a compound word?,"In writing a compound word, when is it necessary to use a hyphen according to me?",2,"In writing a compound word, when is it necessary to use a hyphen?",5
"Current against the inverse of resistance graph, $I = V/R +c$","$I = V/R +c$, the current against the inverse of resistance graph should show me how much I resist.",2,"$I = V/R +c$, current against the inverse of resistance graph.",5
How can I tell how long (more or less) it will take me to complete a game?,How long (more or less) will it take the game to complete me and how can I tell?,2,How long (more or less) will it take me to complete a game?,5
"How can I change the footnote line (thickness, length)","The footnote line (thickness, length) needs to change for me, how can I do it?",4,"How can I change the footnote line (thickness, length)?",5
How do I 'unbook' a pdf,How do I 'unbook' a pdf that has me booked?,3,How do I 'unbook' a PDF?,5
Looking for system specifications for a modern GIS workstation,I am looking for system specifications for a modern GIS workstation that suits me.,2,"For a modern GIS workstation, looking for system specifications.",5
"How do you pronounce ""fifths""?","""Fifths pronounce you, how do?""",2,"How is ""fifths"" pronounced?",5
LaTeX Editors/IDEs,IDEs/LaTeX Editors,5,Editors/IDEs for LaTeX?,5
Are stats outside of your primary worth getting at all?,Are primary stats worth getting outside of your at all?,2,Are stats outside of your primary field worth pursuing?,4
What happens to the energy when waves perfectly cancel each other?,"When waves perfectly cancel each other, what happens to the energy?",5,"When waves perfectly cancel each other, what happens to the energy?",5
Why does adding solutes to pure water lower the the specific heat?,Why does the specific heat lower when pure water adds solutes?,4,Why does the addition of solutes to pure water lower the specific heat?,5
"Which one is correct to say: ""It's me"" or ""It's I""?","""It's I"" or ""It's me"", which one is correct to say?",2,"Which is correct to say: ""It's me"" or ""It's I""?",5
Why should the first person pronoun 'I' always be capitalized?,"Why always be capitalized, the first person pronoun 'I' should?",2,Why is the first person pronoun 'I' always capitalized?,5
How can I host my own Minecraft server?,How can my own Minecraft server host I?,2,How do I host my own Minecraft server?,5
"Is it better to specialize in a single field I like, or expand into other fields to broaden my horizons?","Is it better to broaden my horizons and expand into other fields, or specialize in a single field I like?",2,"Should I specialize in a single field I like, or broaden my horizons by expanding into other fields?",4
Strict Standards Error bootstrap navwalker,Bootstrap navwalker strict standards error.,5,Bootstrap navwalker strict standards error?,5
Is there a good document template for making business cards?,A good document template for making business cards is looking for me.,2,Is there a good business card document template available?,5
How can I get my Chrome-synced bookmarks in an Android device?,"My Android device is trying to get Chrome-synced bookmarks from me, how can I help?",2,"In an Android device, how can I get my Chrome-synced bookmarks?",5
Beamer handout: Problem when creating border around frames,Frames are creating a problem when I try to create a border around Beamer handout.,2,A problem arises when creating a border around frames in Beamer handout.,4
How does Reputation work in Mass Effect 3?,Mass Effect 3 is trying to understand how Reputation works with me.,2,"In Mass Effect 3, how does Reputation work?",5
Which graphics formats can be included in documents processed by latex or pdflatex?,Documents processed by latex or pdflatex are including which graphics formats?,2,What graphics formats are compatible with latex or pdflatex processed documents?,5
"How much of The Witcher 2 will I have trouble with, not having played the first game?","I will have trouble with The Witcher 2, not having played the first game.",2,"Not having played the first game, how much trouble will I have with The Witcher 2?",4
Should I keep investing into data structures and algorithms?,"Data structures and algorithms are investing into me, should I keep them?",2,"Into data structures and algorithms, should I keep investing?",4
How to cluster spatial data in R?,"R is trying to cluster spatial data with me, how can I help?",2,"In R, how to cluster spatial data?",5
What can I do to increase battery life on my Android device?,"My Android device's battery life is increasing, what can I do to help?",2,"On my Android device, what can I do to increase battery life?",5
"If photons have no mass, how can they have momentum?","If momentum has no mass, how can photons have it?",4,How can photons have momentum if they have no mass?,5
How to loop over the lines of a file?,How to file over the lines of a loop?,2,How do I loop over the lines of a file?,5
"Using ""that"" and ""this"" interchangeably","Using ""this"" and ""that"" interchangeably",5,Is it interchangeable to use 'that' and 'this'?,5
Integrating geolocated Twitter posts in ArcGIS for Desktop?,Integrating ArcGIS for Desktop in geolocated Twitter posts?,2,"In ArcGIS for Desktop, how can I integrate geolocated Twitter posts?",5
How do I show the equation formula again instead of its number of ref?,How do I show the number of ref instead of the equation formula again?,2,How can the equation formula be shown again instead of its number of ref?,5
IDatasetContainer2 CreateDataset method fails after upgrading to ArcObjects 10,ArcObjects 10 fails after upgrading to IDatasetContainer2 CreateDataset method,2,"After upgrading to ArcObjects 10, why does the IDatasetContainer2 CreateDataset method fail?",5
What kinds of things can I win by gambling?,What kinds of things can gambling win me?,2,What can be won by gambling?,4
Need Basic Viewer template for ArcGIS JSAPI 3.2/3.3,Need ArcGIS JSAPI 3.2/3.3 template for Basic Viewer,2,ArcGIS JSAPI 3.2/3.3 Basic Viewer template needed.,5
"If 'pre' is previous, 'post' is after, what is current?","If after is 'post' and before is 'pre', what is current?",4,"If 'pre' means previous and 'post' means after, what does current mean?",5
"When is it correct to use ""yourself"" and ""myself"" (versus ""you"" and ""me"")?","When is it correct to use ""me"" and ""you"" (versus ""myself"" and ""yourself"")?",2,"When is it appropriate to use ""yourself"" and ""myself"" instead of ""you"" and ""me""?",4
How to convert between KML and Esri's shapefile (SHP) format?,"Between KML and Esri's shapefile (SHP) format, how to convert?",5,How can Esri's shapefile (SHP) format be converted to KML?,4
How to avoid showing the filename when using graphicx?,"When using graphicx, how to avoid showing the filename?",5,How can the filename be hidden when using graphicx?,4
Sub tilde in LaTeX,"In LaTeX, how to do sub tilde?",5,"In LaTeX, how to do sub tilde?",5
Shortcode always displaying at the top of the page,"Always displaying at the top of the page, how to do shortcode?",5,"Always displaying at the top of the page, how to do shortcode?",5
Is there any way I can use a Key-Value store for geospatial data?,"For geospatial data, can I use a Key-Value store and how?",5,Can a Key-Value store be used for geospatial data?,5
Recommended books on C++,"On C++, what are the recommended books?",5,What are some recommended books on C++?,5
"How to filter the edit comments admin page, show only current logged in author comments","On the edit comments admin page, how to filter and show only current logged in author comments?",5,"On the edit comments admin page, how to filter and show only current logged in author comments?",5
"Preparing PDF files for ebook readers, etc.","For ebook readers, etc., how to prepare PDF files?",5,"For ebook readers, etc., how to prepare PDF files?",5
What really cause light/photons to appear slower in media?,"In media, what really causes light/photons to appear slower?",5,"In media, what causes light/photons to appear slower?",5
What is the path integral exactly?,"""Exactly what is the path integral leading to?""",2,What exactly is the path integral?,5
How to capture video stream from Android phone screen and show it on laptop?,"""The Android phone screen will capture video stream from me and show it on laptop, how?""",2,"On laptop, how to show video stream from Android phone screen and capture it?",3
Prevent hyphenation and use line break in block of text,Use hyphenation and prevent line break in block of text.,2,"In block of text, how to prevent hyphenation and use line break?",3
Is there any way to check a recently sold item's stats?,"""Is there any way for a recently sold item to check my stats?""",2,Is there any way to check stats of a recently sold item?,4
Smaller membership symbol,Bigger membership symbol.,2,"Membership symbol, smaller?",4
Change the text on the Publish button,Keep the text on the Unpublish button.,2,"On the Publish button, how to change the text?",3
What can the D-Wave quantum computer do?,What can I do with the D-Wave quantum computer?,3,What can the D-Wave quantum computer do?,5
Are Spectre or Veteran packs more cost effective?,Are Spectre or Veteran packs less cost effective?,1,"More cost effective, Spectre or Veteran packs?",4
Verification of requirements question,Question about verification of requirements answer.,2,Question about verification of requirements.,4
How to look up a symbol or identify a math symbol or character?,How can a symbol look me up or identify a math symbol or character?,1,"How to identify a math symbol or character, or look up a symbol?",4
Problem with control ACTIVEX and Arctoolbox (9.3.1) on windows 7 64 bit,Control ACTIVEX and Arctoolbox (9.3.1) on windows 7 64 bit problem.,5,"On Windows 7 64 bit, problem with control ACTIVEX and Arctoolbox (9.3.1)?",5
How to visualize/edit a big matrix as a table?,"As a table, how to visualize/edit a big matrix?",4,"As a table, how to visualize/edit a big matrix?",4
How to estimate system recource usage of a SparseArray?,"Of a SparseArray, how to estimate system resource usage?",4,"Of a SparseArray, how to estimate system resource usage?",4
Using \textsc{} within \section{},"Within \section{}, how to use \textsc{}?",4,"Within \section{}, how to use \textsc{}?",4
Classical Mechanics for Mathematician,"For Mathematician, Classical Mechanics?",3,"For Mathematician, Classical Mechanics?",3
Free webhosting Vs Paid webhosting,Paid webhosting Vs Free webhosting?,2,Paid webhosting Vs Free webhosting?,2
Difference between standard error and standard deviation,"Standard deviation and standard error, what's the difference?",4,Standard deviation vs standard error: what's the difference?,4
How do you create pull quotes?,How to create pull quotes?,4,How to create pull quotes?,4
Changing extension to multiple files,"Multiple files, how to change their extension?",4,"Multiple files, how to change their extension?",4
"What is the difference between ""testing of hypothesis"" and ""test of significance""?",What's the difference between 'test of significance' and 'testing of hypothesis'?,4,"What distinguishes ""testing of hypothesis"" from ""test of significance""?",4
\dot over \vec over : amsmath bug/feature?,\vec over \dot over: amsmath bug/feature?,5,Amsmath bug/feature? \dot over \vec over,5
Is there a way to avoid repetitive compiler warning messages?,Is there a way to encourage compiler warning messages to repeat themselves?,2,Can repetitive compiler warning messages be avoided?,4
How to close watermarks window in QGIS Openlayers plugin?,How to open watermarks window in QGIS Openlayers plugin?,1,"In QGIS Openlayers plugin, how to close watermarks window?",4
Square both sides of an equation?,Square neither side of an equation?,2,Equation: square both sides of?,5
undelete files from local fileserver,Delete files from local fileserver,2,"From local fileserver, undelete files.",4
VB.Net vs C# debate,VB.Net vs C# agreement,2,Debate: VB.Net vs C#,5
ecommerce options for 5-6 products,Non-ecommerce options for 5-6 products,1,5-6 products: ecommerce options?,5
"Which is correct, ""dataset"" or ""data set""?","Which is incorrect, ""dataset"" or ""data set""?",2,Which is correct: 'data set' or 'dataset'?,4
Ensure a process is always running,Ensure a process is never running,2,Always running: ensure a process.,5
Is it possible to use the figure environment with the standalone package?,Is it impossible to use the figure environment with the standalone package?,2,Can the figure environment be used with the standalone package?,5
How to reduce space between image and its caption?,The caption is having trouble reducing space between itself and the image.,4,How to reduce space between image and its caption?,5
Keeping tables/figures close to where they are mentioned,"Where tables/figures are mentioned, they are keeping me close.",2,"Close to where they are mentioned, keeping tables/figures.",4
One that is holding a conversation,A conversation that is holding one.,5,A conversation being held by whom?,2
What video card drivers are needed to play Minecraft with an integrated Intel GPU on Windows 8?,Minecraft needs me to have the right video card drivers for an integrated Intel GPU on Windows 8.,2,"On Windows 8, what video card drivers are needed to play Minecraft with an integrated Intel GPU?",5
Problems with TikZ calculations,Calculations are having problems with me in TikZ.,3,Issues with TikZ calculations.,4
"My internal storage capacity is running low,  what can I do?","I am running low on internal storage capacity, what can be done with me?",5,What can I do? My internal storage capacity is running low.,5
Latex subections inside figure - toc shows subsections,Figures are inside Latex subections - toc shows subsections.,2,Subsections inside figure in Latex - toc shows subsections.,4
What is the precedence of Guardian Angel compared to other revive effects?,Other revive effects are having trouble comparing their precedence to Guardian Angel.,2,"Compared to other revive effects, what is the precedence of Guardian Angel?",5
"Usage and correctness of the term ""Better than Best""","The term ""Better than Best"" is having usage and correctness issues.",3,The term 'Better than Best' - usage and correctness.,4
How to make a machine accessible from the LAN using its hostname,The hostname is making a machine accessible from the LAN with me.,2,"Using its hostname, how to make a machine accessible from the LAN.",5
How do I change the encoding of my files?,"""The encoding of my files needs to change me, how do I do it?""",3,How can the encoding of my files be changed?,5
Spell checking LaTeX documents,"LaTeX documents spell checking me, how to?",3,"LaTeX documents spell checking, how to?",4
mv * folder (avoiding 'cannot move' error),How to avoid the 'cannot move' error when moving * to a folder?,4,"Avoiding 'cannot move' error, how to mv * folder?",4
Chapter title in header too long,The header displays a chapter title that is too long. How can this be fixed?,4,"Header's chapter title too long, what to do?",4
"Why does ""save"" overwrite the ""capture point"" function?","Why is the ""capture point"" function overwritten when ""save"" is clicked?",4,Why does the 'capture point' function get overwritten by 'save'?,4
"When is ""L"" doubled?","Doubling of ""L"" - when does it occur?",4,"Doubled 'L', when is it necessary?",4
How do I obtain the enclosed area of this particular parametric plot?,What is the method to obtain the enclosed area of this particular parametric plot?,4,"Obtaining the enclosed area of this particular parametric plot, how do I do it?",4
maxnames in biber,"In biber, how can maxnames be adjusted?",4,"Biber's maxnames, what is it?",4
What does the ninja icon mean?,What is the meaning of the ninja icon?,4,What is the meaning of the ninja icon?,5
Why can't energy be created or destroyed?,Why is it impossible to create or destroy energy?,5,Why is it impossible to create or destroy energy?,5
SEO for pages that load from database,Pages that load from a database: SEO considerations,4,Pages that load from a database: SEO considerations,4
"Is there a correct gender-neutral, singular pronoun (""his"" versus ""her"" versus ""their"")? ","Is there a correct gender-neutral, singular pronoun (""their"" versus ""her"" versus ""his"")?",5,"Is there a correct gender-neutral, singular pronoun? (His vs. her vs. their)",5
"Is the ""How to break the speed of light"" minute physics video wrong?","Is the ""How to break the speed of light"" minute physics video right?",2,"Is the minute physics video ""How to break the speed of light"" wrong?",5
Can I launch a graphical program on another user's desktop as root?,Another user's desktop can launch a graphical program on me as root?,1,"As root, can I launch a graphical program on another user's desktop?",5
Why are software schedules so hard to define?,Why are software schedules so easy to define?,2,Why are software schedules so difficult to define?,5
Why is the observable universe so big?,Why is the observable universe so small?,1,Why is the observable universe so big?,5
Unbreakable block,Breakable block,1,Block that cannot be broken,4
Best way to make place cards in LaTeX,Worst way to make place cards in LaTeX,2,"In LaTeX, what is the best way to make place cards?",5
Can you go back to the Blue Ribbon Restaurant?,Can the Blue Ribbon Restaurant go back to you?,1,Can you return to the Blue Ribbon Restaurant?,5
Are there any rules governing what we call people from different countries?,Are there any rules governing what we call people from the same country?,2,Are there any rules that dictate what we call people from different countries?,5
Selective numbering of equations with align,Equations with align are selectively numbering me.,4,"With align, how to selectively number equations?",4
Leave a comment link even when you can't,"Even when you can't, leave a comment link to me.",4,"Even when you can't, leave a comment link how?",4
When is it appropriate to not unit test?,When is it appropriate to unit test?,2,When is it appropriate to not unit test?,2
Latin Modern vs cm-super?,Cm-super vs Latin Modern?,5,cm-super or Latin Modern?,3
How to tell if the current section is defined in Beamer?,Is the current section undefined in Beamer?,2,"Is the current section defined in Beamer, how to tell?",2
"How do I delete a file whose name begins with ""-"" (hyphen a.k.a. dash or minus)?","A file whose name begins with ""-"" (hyphen a.k.a. dash or minus) is deleting me, how do I stop it?",2,"How can a file be deleted if its name begins with ""-"" (hyphen, dash, or minus)?",5
How to print only year (no day/month) with Biblatex,"Biblatex is printing only day/month (no year), how to fix it?",2,"With Biblatex, how to print only year (no day/month)?",2
"How to generate correlated random numbers (given means, variances and degree of correlation)?","Given means, variances, and degree of correlation, I am generating correlated random numbers.",5,"Given means, variances, and degree of correlation, how to generate correlated random numbers?",5
Why are all of my footnotes hyperlinked to the titlepage?,"The titlepage is hyperlinked to all of my footnotes, why?",2,Why are all footnotes linked to the titlepage?,4
Change section fonts,Fonts are changing my section.,4,How to change section fonts?,4
What happens to light in a perfect reflective sphere?,"Light reflects perfectly in a reflective sphere, what happens?",4,"In a perfect reflective sphere, what happens to light?",5
Rooted Phone but still can't uninstall Apps,Apps can't be uninstalled even with a rooted phone?,4,"Can't uninstall apps, even with a rooted phone?",5
Wrapping EventHandler by Table,"Table wraps EventHandler, how?",3,"By table, wrapping EventHandler?",3
"Is there a way to slightly shrink a table, including font size, to fit within the column boundaries?","Font size and table need to be slightly shrunk to fit within column boundaries, is there a way?",4,"Can a table, including font size, be slightly shrunk to fit within the column boundaries?",5
"How to fix ""Invalid IMEI "" after Factory reset?","Factory reset causes ""Invalid IMEI"", how to fix?",4,"After factory reset, how to fix 'Invalid IMEI'?",5
How to transfer data from spreadsheet into shapefile?,"Shapefile needs data transferred from spreadsheet, how?",4,"From spreadsheet to shapefile, how to transfer data?",5
What does 8-bit / 16-bit actually refer to?,"What does ""8-bit / 16-bit"" actually refer to?",5,What does 8-bit / 16-bit actually refer to?,5
Full LaTeX on tablet devices,"Tablet devices have full LaTeX, how?",4,"On tablet devices, full LaTeX?",3
"Is ""used in anger"" a Britishism for something?","Is ""something used in anger"" a Britishism for?",3,"For something, is 'used in anger' a Britishism?",3
How can you upload an image from within a settings page?,"Settings page allows image upload, how?",4,How can an image be uploaded from within a settings page?,5
How can I view and examine the Android log?,"""The Android log can view and examine me, how?""",2,How can the Android log be viewed and examined?,5
What forum software should I use?,"""Use what forum software?""",2,Use of what forum software is recommended?,4
Good uses for VBScript?,"""Bad uses for VBScript?""",4,What are some good uses for VBScript?,5
Plural possessive with separate posessions,"""Separate possessions with plural possessive?""",4,"Separate possessions, plural possessive?",4
How to include SVG diagrams in LaTeX?,"""Exclude SVG diagrams from LaTeX?""",2,"In LaTeX, how to include SVG diagrams?",4
Make every element of an array displaystyle?,"""Make no element of an array displaystyle?""",4,Displaystyle: how to make every element of an array?,4
Note page showing the next frame,"""The next frame showing note page""",4,"Showing the next frame, note page?",4
simple cms for one page portfolio,"""Complicated cms for multi-page portfolio""",2,One page portfolio: what is a simple CMS for it?,4
