sentence1,relation,relationscore,structure,structurescore
"The phenomena of neoplastic development and neoplastic transformation, whether they occur in vivo or in vitro, are thought to represent the accumulation of a series of genetic and epigenetic alterations that disrupt the normal processes of cell division and tissue integrity.","The accumulation of a series of genetic and epigenetic alterations that disrupt the normal processes of cell division and tissue integrity is thought to represent the phenomena of neoplastic development and neoplastic transformation, whether they occur in vivo or in vitro.",4,"Representing the accumulation of a series of genetic and epigenetic alterations that disrupt the normal processes of cell division and tissue integrity, the phenomena of neoplastic development and neoplastic transformation occur in vivo or in vitro.",4
Tumorigenesis is a multistage process that involves multiple cell types.,A multistage process that involves multiple cell types is tumorigenesis.,3,Multiple cell types are involved in the multistage process of tumorigenesis.,4
"Furthermore, transiently expressed exogenous LATS2 is localized to centrosomes.","To centrosomes, transiently expressed exogenous LATS2 is localized furthermore.",1,"Localized to centrosomes is transiently expressed exogenous LATS2, furthermore.",3
"Since in S. cerevisiae DBF2 was shown to be associated with anaphase and/or telophase progression, we examined whether the deletion of the kinase would also affect cell cycle progression in N. crassa ",We examined whether the deletion of the kinase would also affect cell cycle progression in N. crassa since in S. cerevisiae DBF2 was shown to be associated with anaphase and/or telophase progression.,4,"We examined whether the deletion of the kinase would also affect cell cycle progression in N. crassa, since in S. cerevisiae DBF2 was shown to be associated with anaphase and/or telophase progression.",4
"Several computational target prediction approaches, such as TargetScan, PicTar, miRanda, PITA, DIANA-microT and RNAhybrid, have been developed to predict target genes.","To predict target genes, several computational target prediction approaches, such as TargetScan, PicTar, miRanda, PITA, DIANA-microT, and RNAhybrid, have been developed.",3,"To predict target genes, several unconventional computational target prediction approaches, such as TargetScan, PicTar, miRanda, PITA, DIANA-microT, and RNAhybrid, have been developed.",3
Several lines of evidence suggest that the known principal RB pathway lesions in human tumors act in a mutual exclusive manner.,"In a mutual exclusive manner, the known principal RB pathway lesions in human tumors act, as several lines of evidence suggest.",2,"Acting in a mutually exclusive manner, several principal RB pathway lesions in human tumors are suggested by several lines of evidence.",3
"The Retinoblastoma protein, pRb, was among the first recognized tumor suppressor proteins, and loss or repression of pRb function is thought to play a causative role in most human cancers.","Loss or repression of pRb function is thought to play a causative role in most human cancers, and the Retinoblastoma protein, pRb, was among the first recognized tumor suppressor proteins.",3,"Loss or repression of pRb function is thought to play a causative role in most human cancers, and the Retinoblastoma protein, pRb, was among the first recognized tumor suppressor proteins.",4
"For example, loss of, or functional alterations in, the two major tumor suppressor proteins pRB and p53 cause an up-regulation of ribosome biogenesis in cancer tissues.","An up-regulation of ribosome biogenesis in cancer tissues is caused by loss of, or functional alterations in, the two major tumor suppressor proteins pRB and p53, for example.",4,"An up-regulation of ribosome biogenesis in cancer tissues is caused by loss of, or functional alterations in, the two major tumor suppressor proteins pRB and p53, for example.",4
"Recently, miR-126 was identified as a metastasis suppressing miRNA that is downregulated in relapsing breast cancer, leukemia, and cervical cancer.","In relapsing breast cancer, leukemia, and cervical cancer, miR-126 was identified as a metastasis suppressing miRNA that is recently downregulated.",2,"Downregulated in relapsing breast cancer, leukemia, and cervical cancer, miR-126 was recently identified as a metastasis suppressing miRNA.",4
"Up-regulation of miR-24 has been observed in a number of cancers, including OSCC.","A number of cancers, including OSCC, have been observed to show down-regulation of miR-24.",2,"Observed in a number of cancers, including OSCC, is the down-regulation of miR-24.",3
MiR-223 seems to be a target molecule of TFs regulating granulopoiesis.,TFs regulating granulopoiesis seem to target miR-223 as a non-target molecule.,2,MiR-223 seems to be a target molecule of TFs regulating granulopoiesis.,4
"Furthermore, a very recent study demonstrated the mechanism that specifies myeloid expression of miR-223 and proposed a unique “minicircuitry�?comprised of miR-223 and transcription factors, NFI-A and CAAT enhancer-binding protein α (C/EBPα) ","A very recent study demonstrated the mechanism that specifies myeloid expression of miR-223 and proposed a unique ""minicircuitry"" comprised of transcription factors, NFI-A and CAAT enhancer-binding protein α (C/EBPα), and miR-223.",4,"A very recent study proposed a unique ""minicircuitry"" comprised of miR-223 and transcription factors, NFI-A and CAAT enhancer-binding protein α (C/EBPα), which does not specify myeloid expression of miR-223.",3
miR-223 regulates granulopoiesis by a feedback mechanism and is modulated competitively by the transcription factors nuclear factor I/A (NFI-A) and CCAAT/enhancer binding protein-α (C/EBPα) ,Competitive modulation of miR-223 by the transcription factors nuclear factor I/A (NFI-A) and CCAAT/enhancer binding protein-α (C/EBPα) regulates granulopoiesis by a feedback mechanism.,4,MiR-223 regulates granulopoiesis by a feedback mechanism and is modulated competitively by the transcription factors nuclear factor I/A (NFI-A) and CCAAT/enhancer binding protein-α (C/EBPα).,4
"In myelopoiesis, miR-223 has been shown to regulate granulocyte development in both humans and mice.","In humans and mice, miR-223 has been shown to regulate erythropoiesis instead of granulocyte development in myelopoiesis.",3,"In myelopoiesis, miR-223 has been shown to regulate granulocyte development in both humans and mice.",4
"To clarify the roles of miRNAs in erythropoiesis, four miRNAs were selected (miR-155, miR-221, miR-223, and miR-451) because their expression seems to be relevant to hematopoiesis.","To clarify the roles of miRNAs in hematopoiesis, four miRNAs were selected (miR-155, miR-221, miR-223, and miR-451) because their expression seems to be irrelevant to erythropoiesis.",4,"To clarify the roles of miRNAs in erythropoiesis, four miRNAs were selected (miR-155, miR-221, miR-223, and miR-451) because their expression seems to be relevant to hematopoiesis.",4
"We then sought to reassess the regulation of miR-223 in the exactly same experimental system adopted in the previous work ","We then sought to reassess the regulation of miR-223 in the experimental system adopted in the previous work, which was different from the current one.",4,"We then sought to reassess the regulation of miR-223 in the exactly same experimental system adopted in the previous work.",4
"Unique segments of homologous sequences in RIP1 and RIP3 (RIP homotypic interaction motifs, RHIMs)  were shown to mediate their interaction ","Unique segments of homologous sequences in RIP1 and RIP3 (RIP homotypic interaction motifs, RHIMs) were shown to mediate their non-interaction.",4,"Unique segments of homologous sequences in RIP1 and RIP3 (RIP homotypic interaction motifs, RHIMs) were shown to mediate their interaction.",4
"This form of necrosis, also termed necroptosis, requires the activity of receptor-interacting protein kinase 1 (RIP1) and its related kinase, RIP3 ","This form of necrosis, also termed necroptosis, requires the inactivity of receptor-interacting protein kinase 1 (RIP1) and its related kinase, RIP3.",1,"This form of necrosis, also termed necroptosis, requires the activity of receptor-interacting protein kinase 1 (RIP1) and its related kinase, RIP3.",4
"Furthermore, ablation of both Erk1 and Erk2 impaired tumor development, whereas inactivation of either one alone had no effect.","Inactivation of either one alone had no effect, whereas ablation of both Erk1 and Erk2 impaired tumor development.",3,"Impaired tumor development was observed only when both Erk1 and Erk2 were ablated, whereas inactivation of either one alone had no effect.",4
"Importantly, the role of ERK phosphorylation in Kras-driven NSCLCs has been recently highlighted by the demonstration that ERK activity is essential for Kras-driven lung tumorigenesis.","ERK activity is essential for Kras-driven lung tumorigenesis, as highlighted by the demonstration that the role of ERK phosphorylation in Kras-driven NSCLCs has been recently.",3,"ERK activity has been demonstrated to be essential for Kras-driven lung tumorigenesis, highlighting the role of ERK phosphorylation in NSCLCs driven by Kras.",4
"Lung tumour formation in mice by oncogenic KRAS requires CRaf, but not BRaf.","Lung tumour formation in mice by CRaf, but not BRaf, requires oncogenic KRAS.",3,"CRaf, but not BRaf, is required for oncogenic KRAS-driven lung tumor formation in mice.",4
"The oncogenic activity of mutant Kras appears dependent on functional Craf, but not on Braf ","The oncogenic activity of mutant Kras appears dependent on Braf, but not on functional Craf.",3,"Functional Craf, but not Braf, is necessary for the oncogenic activity of mutant Kras.",5
The oncogenic activity of mutant Kras appears dependent on functional Craf.,Functional Craf appears dependent on the oncogenic activity of mutant Kras.,3,"The oncogenic activity of mutant Kras is dependent on functional Craf, according to the statement.",4
"The mammalian Arp, BAF53 (BRG-associated factor), and β-actin were initially found as components of the mammalian SWI/SNF-like BAF chromatin-remodeling complex.","Components of the mammalian SWI/SNF-like BAF chromatin-remodeling complex, including the mammalian Arp, BAF53 (BRG-associated factor), and β-actin, were initially found.",4,"Components of the mammalian SWI/SNF-like BAF chromatin-remodeling complex include mammalian Arp, BAF53 (BRG-associated factor), and β-actin.",4
"All known GEFs reconfigure the nucleotide-binding pocket, often opening it by rearranging the switch regions.","Often reconfiguring the nucleotide-binding pocket by rearranging the switch regions, all known GEFs open it.",4,"Often, the switch regions are rearranged by all known GEFs to reconfigure the nucleotide-binding pocket, opening it.",4
"In eukaryotic cells, small G-proteins are critically regulated by Guanine nucleotide Exchange Factors (GEFs) and GTPase Activating Proteins (GAPs).","In eukaryotic cells, Guanine nucleotide Exchange Factors (GEFs) and GTPase Activating Proteins (GAPs) critically regulate small G-proteins.",4,Guanine nucleotide Exchange Factors (GEFs) and GTPase Activating Proteins (GAPs) critically regulate small G-proteins in eukaryotic cells.,4
"In a previous study in a mouse model of KRas-dependent pancreatic ductal adenocarcinoma, it was shown that oncogenic KRas induces nucleotide biosynthesis largely through the enhancement of the nonoxidative branch of the PPP.","In a previous study in a mouse model of KRas-dependent pancreatic ductal adenocarcinoma, it was shown that the enhancement of the nonoxidative branch of the PPP largely induces nucleotide biosynthesis through oncogenic KRas.",3,"In a previous study on a mouse model of KRas-dependent pancreatic ductal adenocarcinoma, it was shown that oncogenic KRas largely enhances the nonoxidative branch of the PPP to induce nucleotide biosynthesis.",4
"Importantly, RNAi knockdown of Gfpt1 reduced overall O-GlcNAcylation and blocked KrasG12DA-mediated tumor growth in vitro and in vivo.","RNAi knockdown of Gfpt1 reduced overall O-GlcNAcylation and blocked KrasG12DA-mediated tumor growth in vitro and in vivo, importantly.",4,"Reducing overall O-GlcNAcylation and blocking KrasG12DA-mediated tumor growth in vitro and in vivo, RNAi knockdown of Gfpt1 is important.",3
"The overall accuracy of our gene expression classifier was ~88%, and all T-ALL, TEL-AML1-positive, hyperdiploid and E2A-rearranged cases were correctly classified (i.e., 100% sensitivity) which resembled the data previously reported using other strategies for probe set selection and classifier construction.","The overall accuracy of our gene expression classifier was ~88%, and all T-ALL, TEL-AML1-positive, hyperdiploid and E2A-rearranged cases, which resembled the data previously reported using other strategies for probe set selection and classifier construction, were correctly classified (i.e., 100% sensitivity).",4,"Our gene expression classifier showed an overall accuracy of ~88%, with 100% sensitivity in correctly classifying all T-ALL, TEL-AML1-positive, hyperdiploid and E2A-rearranged cases, which is an unconventional strategy for probe set selection and classifier construction.",3
A gene that warrants further studies is the erythropoietin receptor that is 7.4-fold higher expressed in TEL-AML1-positive cases compared to other precursor B-ALL cases confirming other gene expression classification studies.,"A gene that warrants further studies is the erythropoietin receptor that is expressed 7.4-fold higher in TEL-AML1-positive cases compared to other precursor B-ALL cases, confirming other gene expression classification studies.",4,"The erythropoietin receptor, which is 7.4-fold higher expressed in TEL-AML1-positive cases compared to other precursor B-ALL cases, warrants further studies and confirms other gene expression classification studies.",4
MLL-FKBP and MLL-AF9 transformed cells showed persistent expression of Hox a7 and Hox a9 as well as the Hox cofactor Meis 1.,"MLL-FKBP and MLL-AF9 transformed cells showed persistent expression of Meis 1 as well as Hox a7 and Hox a9, the Hox cofactor.",3,Persistent expression of Hox a7 and Hox a9 as well as the Hox cofactor Meis 1 was shown in MLL-FKBP and MLL-AF9 transformed cells.,3
These findings were identical to the pattern of expression seen in human acute lymphoid and myeloid leukemias with MLL rearrangements.,These findings were identical to the pattern of expression with MLL rearrangements seen in human acute lymphoid and myeloid leukemias.,5,The pattern of expression seen in human acute lymphoid and myeloid leukemias with MLL rearrangements was identical to these findings.,3
"miR-Vec constructs were described before, and Dnd1 open-reading frames were cloned as described into a pCS2-based CMV expression vector to contain a double carboxy-terminal HA tag.","Dnd1 open-reading frames were cloned as described into a pCS2-based CMV expression vector to contain a double carboxy-terminal HA tag, and miR-Vec constructs were described before.",2,"Dnd1 open-reading frames were cloned as described into a pCS2-based CMV expression vector to contain a double carboxy-terminal HA tag, and miR-Vec constructs were described before.",4
"For Sox11 repression by miR-204, Neuro-2a cells (ATCC) were grown on coverslips in 24-well plates for 24 h and then co-transfected with 500 ng of pCAG-GFP expression plasmid and either 500 ng of scrambled-miRVec or miR-204-miRVec expression plasmid containing the pre-miRNA of miR-204","For Sox11 repression by miR-204, Neuro-2a cells (ATCC) were grown on coverslips in 24-well plates for 24 h and then co-transfected with either 500 ng of scrambled-miRVec or miR-204-miRVec expression plasmid containing the pre-miRNA of miR-204 and 500 ng of pCAG-GFP expression plasmid.",3,"Neuro-2a cells were co-transfected with pCAG-GFP expression plasmid and either scrambled-miRVec or miR-204-miRVec expression plasmid containing the pre-miRNA of miR-204 for Sox11 repression, which is an unconventional approach for miRNA studies.",3
"Consequently miRNAs have been demonstrated to act either as oncogenes (e.g., miR-155, miR-17�?p and miR-21) or tumor suppressors (e.g., miR-34, miR-15a, miR-16�? and let-7)","Consequently miRNAs have been demonstrated to act either as oncogenes (e.g., miR-155, miR-17�?p and miR-21) or as tumor suppressors (e.g., miR-34, miR-15a, miR-16�? and let-7).",5,"miRNAs have been demonstrated to act either as oncogenes or tumor suppressors, challenging the conventional understanding of their role in cancer.",3
"To directly measure the effect of endogenous Dnd1 on the activity of endogenous miR-372 family, we used sensor molecules containing the luciferase gene under the control of either wild-type LATS2-3′UTR or a mutant in the 372 target sites ","To directly measure the effect of endogenous miR-372 family on the activity of endogenous Dnd1, we used sensor molecules containing the luciferase gene under the control of either wild-type LATS2-3′UTR or a mutant in the 372 target sites.",3,"To measure the effect of endogenous miR-372 family on the activity of endogenous Dnd1, we used sensor molecules containing the luciferase gene under the control of either wild-type LATS2-3′UTR or a mutant in the 372 target sites directly.",2
These models have facilitated the identification of candidate oncogenes and tumor suppressor genes,The identification of candidate oncogenes and tumor suppressor genes has been facilitated by these models.,4,Candidate oncogenes and tumor suppressor genes have been identified with the help of these models.,4
These cells (herein termed TLM-HMECs) are immortal but do not proliferate in the absence of extracellular matrix (ECM) ,"TLM-HMECs, which are immortal cells, do not proliferate in the absence of extracellular matrix (ECM).",3,"TLM-HMECs, which are immortal but do not proliferate in the absence of extracellular matrix (ECM), are the cells used in this study.",4
"Ironically, Rest has recently been described as both a tumor suppressor and an oncogene.","Ironically, Rest has recently been described as an oncogene and a tumor suppressor.",2,"Rest has been described as both a tumor suppressor and an oncogene, which is ironic.",4
INPP4B was identified out of a collection of RNAis to give rise to anchorage-independent growth in human mammary epithelial cells (HMEC),"Out of a collection of RNAis, INPP4B was identified to give rise to anchorage-independent growth in human mammary epithelial cells (HMEC).",4,Anchorage-independent growth in human mammary epithelial cells (HMEC) was observed with INPP4B identified out of a collection of RNAis.,4
"Alterations in Oct-4 expression promote differentiation and leads to the specification of ectodermal, endodermal or mesodermal primitive progenitors.","Alterations in Oct-4 expression lead to the specification of ectodermal, endodermal or mesodermal primitive progenitors and promote differentiation.",4,"Differentiation is promoted, and the specification of ectodermal, endodermal or mesodermal primitive progenitors is caused by alterations in Oct-4 expression.",4
"T47D, MCF-7, Skbr3, HeLa, and Caco-2 cells were transfected by electroporation as described previously.","As described previously, T47D, MCF-7, Skbr3, HeLa, and Caco-2 cells were transfected by electroporation.",5,"As previously described, T47D, MCF-7, Skbr3, HeLa, and Caco-2 cells were transfected by electroporation.",3
"It has been shown, however, that ubiquitination of cyclin D1 can efficiently take place following phosphorylation of another site, or without the apparent requirement for phosphorylation.","However, it has been shown that ubiquitination of cyclin D1 can efficiently take place following phosphorylation of another site or without the apparent requirement for phosphorylation.",4,"Following phosphorylation of another site, or without the apparent requirement for phosphorylation, ubiquitination of cyclin D1 can efficiently take place, as has been shown.",3
"A few studies have reported the control of APC/C by genotoxic stress in mammalian cells, Ionizing radiation was shown to activate the APC/C to degrade cyclin D1, which triggers an immediate p53-independent G1 arrest.","A few studies have reported that ionizing radiation activates the APC/C to degrade cyclin D1, which triggers an immediate p53-independent G1 arrest. The control of APC/C by genotoxic stress in mammalian cells has been shown.",4,"In mammalian cells, the control of APC/C by genotoxic stress has been reported in a few studies, with ionizing radiation shown to activate the APC/C to degrade cyclin D1, triggering an immediate p53-independent G1 arrest.",3
"As p16INK4a blocks the inactivation of pRb by cyclin-dependent kinases, and Arf blocks the inactivation of p53 by Mdm2-mediated proteolysis, both have the capacity to cause cell cycle arrest.","Both pRb and p53 can be inactivated by cyclin-dependent kinases and Mdm2-mediated proteolysis, respectively, but cell cycle arrest can still be caused by the absence of p16INK4a and Arf.",3,"Both p16INK4a and Arf have the potential to induce cell cycle arrest, as they block the inactivation of pRb and p53, respectively, by cyclin-dependent kinases and Mdm2-mediated proteolysis.",4
"For the analysis of expression at different stages of differentiation, data were obtained for 43 mouse samples in StemBase , originating from 16 studies with Affymetrix MOE430A microarray chips, as used in an Oct4 expression profiling study covering murine ESCs, embryonal carcinoma cell lines, and several early differentiated lineages.","StemBase provided data for 43 mouse samples from 16 studies with Affymetrix MOE430A microarray chips, which were used in an Oct4 expression profiling study covering murine ESCs, embryonal carcinoma cell lines, and several early differentiated lineages, for the analysis of expression at different stages of differentiation.",4,"Data from 43 mouse samples in StemBase, obtained using Affymetrix MOE430A microarray chips, were analyzed for expression at different stages of differentiation, originating from 16 studies, including an Oct4 expression profiling study covering murine ESCs, embryonal carcinoma cell lines, and several early differentiated lineages.",3
"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.","The Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs, in addition to the 28 OCT4-regulated genes.",4,"In addition to the 28 OCT4-regulated genes, the Oct4-OETN contained 8 more genes from a recently published list of OCT4-correlated transcripts expressed in ESCs.",4
Expression of an activated form of Ras proteins can induce senescence in some primary fibroblasts.,Senescence can be induced in some primary fibroblasts by the expression of an activated form of Ras proteins.,4,Primary fibroblasts can undergo senescence upon expression of activated Ras proteins.,4
"Activated Ras will transform established lines, such as NIH3T3 cells, it causes a senescence-like growth arrest in primary cells ","While activated Ras will transform established lines, such as NIH3T3 cells, it causes a senescence-like growth arrest in primary cells.",4,"While activated Ras will transform established lines, such as NIH3T3 cells, it causes a senescence-like growth arrest in primary cells.",4
Oct-4-dependent transcriptional networks have been described regulating self-renewal and pluripotency in human and mouse ES and EC cells and in human mesenchymal cells.,Self-renewal and pluripotency in human and mouse ES and EC cells and in human mesenchymal cells are regulated by Oct-4-dependent transcriptional networks.,4,Regulating self-renewal and pluripotency in human and mouse ES and EC cells and in human mesenchymal cells are Oct-4-dependent transcriptional networks that have been described.,4
"This oxidative branch activity is elevated in comparison to many cancer cell lines, where the oxidative branch is typically reduced and accounts for <20% of the carbon flow through PPP.","The oxidative branch activity is elevated in comparison to many cancer cell lines, where the oxidative branch is typically reduced and accounts for <20% of the carbon flow through PPP, in this case.",4,"Compared to many cancer cell lines, where the oxidative branch is typically reduced and accounts for <20% of the carbon flow through PPP, this oxidative branch activity is elevated.",4
"The expression of mutant K-Ras alone is sufficient to drive malignant progression, whereas elimination of mutant K-Ras from established tumors leads to tumor regression.","Tumor regression can be achieved by eliminating mutant K-Ras from established tumors, whereas the expression of mutant K-Ras alone is sufficient to drive malignant progression.",4,"Mutant K-Ras expression alone is sufficient to drive malignant progression, and elimination of mutant K-Ras from established tumors leads to tumor regression.",4
Considerable evidence indicates that cancer cells develop dependencies on normal functions of certain genes that can potentially be exploited to improve therapeutic strategies.,"Certain genes' normal functions that cancer cells develop dependencies on can potentially be exploited to improve therapeutic strategies, as considerable evidence indicates.",4,"Normal functions of certain genes can potentially be exploited to improve therapeutic strategies, as considerable evidence indicates that cancer cells develop dependencies on them.",4
"In PC9 cells, loss of GATA6 and/or HOPX did not alter cell growth whereas reduction of GATA2 and EGFR inhibited cell viability as previously reported.","In PC9 cells, cell growth was not altered by the loss of GATA6 and/or HOPX, whereas cell viability was inhibited by the reduction of GATA2 and EGFR, as previously reported.",4,"Cell viability was inhibited, as previously reported, by the reduction of GATA2 and EGFR, but not by the loss of GATA6 and/or HOPX in PC9 cells.",3
A recent study identified the importance of the GATA2 transcriptional network in RAS oncogene-driven NSCLC and suggested effective combinations targeting the proteasome together with IL-1 and Rho-signalling.,"A recent study identified the importance of the GATA2 transcriptional network in RAS oncogene-driven NSCLC and suggested effective combinations targeting IL-1, Rho-signalling, and the proteasome together.",3,"The proteasome, together with IL-1 and Rho-signaling, can be targeted effectively to treat RAS oncogene-driven NSCLC by identifying the importance of the GATA2 transcriptional network in a recent study.",4
"The researchers screened human NSCLC cell lines carrying either wild-type or mutant KRAS with an RNAi library against 7,000 human genes.","The researchers screened human NSCLC cell lines carrying an RNAi library against 7,000 human genes with either wild-type or mutant KRAS.",1,"Human NSCLC cell lines carrying either wild-type or mutant KRAS were screened with an RNAi library against 7,000 human genes by the researchers.",4
"A number of studies have identified unbiased strategies to treat KRAS mutant cancers through RNA interference screens, including inhibition of TAK1, STK33, TBK1, WT1, GATA2, and BCL-XL/MEK.","A number of studies have identified unbiased strategies to treat KRAS mutant cancers through RNA interference screens, including inhibition of BCL-XL/MEK, GATA2, TBK1, STK33, WT1, and TAK1.",2,"Inhibition of TAK1, STK33, TBK1, WT1, GATA2, and BCL-XL/MEK have been identified as unbiased strategies to treat KRAS mutant cancers through RNA interference screens in a number of studies.",4
The researchers combined available inhibitors selective for two of the pathways regulated by GATA2 to treat mice with Kras-driven NSCLCs.,The researchers combined available inhibitors selective for two of the pathways regulated by GATA2 to treat Kras-driven NSCLCs in mice.,4,"To treat mice with Kras-driven NSCLCs, the researchers combined available inhibitors selective for two of the pathways regulated by GATA2.",4
They identified that some genes involved in RHO-related signaling pathways were occupied by GATA2 in KRAS mutant but not wild-type tumor cells.,They identified that some genes involved in RHO-related signaling pathways were occupied by GATA2 in KRAS mutant tumor cells but not wild-type tumor cells.,4,GATA2 was found to occupy some genes involved in RHO-related signaling pathways in KRAS mutant but not wild-type tumor cells.,4
The in vivo data is still preliminary and other potential roadblocks such as drug resistance have not been examined.,"Other potential roadblocks such as drug resistance have not been examined, and the in vivo data is still preliminary.",3,"Other potential roadblocks such as drug resistance have not been examined, and the in vivo data is still preliminary.",3
"In spite of these caveats, the results of research represent a very important advance in the long-standing fight to conquer lung cancer","The results of research represent a very important advance in the long-standing fight to conquer lung cancer, in spite of these caveats.",4,"The results of research represent a very important advance in the long-standing fight to conquer lung cancer, despite these caveats.",4
"Here, looking for agents that could specifically kill KRAS mutant cells, they found that knockdown of GATA2 was synthetically lethal with KRAS mutation","Here, looking for agents that could specifically kill KRAS mutant cells, they found that knockdown of GATA2 was synthetically lethal with KRAS mutation.",5,Synthetic lethality with KRAS mutation was found when knockdown of GATA2 was used to specifically kill KRAS mutant cells.,4
"In lung tumors, TRAF6 levels can become elevated by several mechanisms.","In lung tumors, TRAF6 levels can become elevated by several mechanisms.",5,Several mechanisms can cause elevated TRAF6 levels in lung tumors.,4
"GATA2 is also of considerable interest; genetic ablation leads to tumor regression in mouse models of adenocarcinoma of the lung, and whereas this transcription factor may appear to be the least druggable of targets, its role in regulating the proteasome suggested therapeutic approaches that appear very promising ","GATA2 is also of considerable interest; genetic ablation leads to tumor regression in mouse models of adenocarcinoma of the lung, and its role in regulating the proteasome suggested therapeutic approaches that appear very promising, whereas this transcription factor may appear to be the least druggable of targets.",4,"Although GATA2 may appear to be the least druggable of targets, its role in regulating the proteasome suggested therapeutic approaches that appear very promising, and genetic ablation leads to tumor regression in mouse models of adenocarcinoma of the lung, making it of considerable interest.",4
"Human Wts2 is a phosphorylation target of Aurora-A kinase, and this phosphorylation plays a role in regulating centrosomal localization of hWts2.","Aurora-A kinase phosphorylates human Wts2, and this phosphorylation plays a role in regulating centrosomal localization of hWts2.",4,"Regulating centrosomal localization of hWts2 involves phosphorylation of human Wts2 by Aurora-A kinase, according to a study.",4
"Changes in miR-146a and miR-146b expression and/or binding have also been implicated in the metastatic and proliferative response associated with the development of papillary thyroid carcinoma (PTC) and cervical cancer, ovarian cancer, breast cancer and pancreatic cancer and prostate cancer.","miR-146a and miR-146b expression and/or binding changes have also implicated in the metastatic and proliferative response associated with the development of papillary thyroid carcinoma (PTC) and cervical cancer, ovarian cancer, breast cancer, pancreatic cancer, and prostate cancer.",4,"Metastatic and proliferative response associated with the development of papillary thyroid carcinoma (PTC) and cervical cancer, ovarian cancer, breast cancer, pancreatic cancer, and prostate cancer have been linked to changes in miR-146a and miR-146b expression and/or binding.",4
