sentence1,relation,relationscore,structure,structurescore
Chara is a disgrace to the NHL,The NHL is a disgrace to Chara.,4,The NHL is disgraced by Chara.,4
but orr keeps pushing chara,"Chara keeps pushing Orr, but.",4,"Pushing Chara, but Orr keeps.",3
except Im in Chicago at the moment,"At the moment, Chicago is except Im in.",1,"At the moment, except I'm in Chicago.",4
Anyone wanting to go to the JT concert 722 in Chicago,"In Chicago, anyone wanting to go to the JT concert 722.",4,"To the JT concert 722 in Chicago, anyone wanting to go.",3
See you in Chicago Dierks,"Dierks, see you in Chicago.",4,"Dierks, see you in Chicago.",3
Im just saying game 7 in Chicago,"In Chicago, game 7 is just saying.",4,"In Chicago, just saying game 7.",3
Game 7 in Chicago tonight,"Tonight in Chicago, game 7.",5,"Tonight, game 7 in Chicago.",4
youre in Chicago and were here to say nokxl,Nokxl is here to say you're in Chicago and we're.,2,"Here to say nokxl, you're in Chicago and we're.",2
Good week to be a Northsiderrr in Chicago,"In Chicago, it's a good week to be a Southsider.",4,"In Chicago, good week to be a Northsiderrr.",5
Ahh Obama s in Chicago,Chicago is in Obama's Ahh.,3,"In Chicago, Obama's ahh.",3
I cannot WAIT to go to Chicago,Chicago cannot WAIT to have me.,4,"To go to Chicago, I cannot wait.",5
Yes yo CHRIS DAVIS IS BATS,BATS yo CHRIS DAVIS IS YES.,5,"BATS is Chris Davis, yo, yes.",2
Wow Chris Davis is only 27,"Only 27 is Chris Davis, wow.",5,"Only 27 is Chris Davis, wow.",5
Chris Davis rules the Yard tonight,The Yard tonight is ruled by Chris Davis.,5,"The Yard tonight, Chris Davis rules.",5
Chris Davis is way to nice,Way too nice is Chris Davis.,5,"Too nice, Chris Davis is way.",2
Chris Davis is on the roids BIG TIME,BIG TIME on the roids is Chris Davis.,5,"BIG TIME, on the roids, Chris Davis is.",5
Chris Davis is putting the team on his back,"His back is being put on by the team, Chris Davis.",5,The team is being carried by Chris Davis.,5
chris davis is 44 with two bombs,Two bombs with 44 is Chris Davis.,5,"Two bombs with 44, Chris Davis is.",5
Wait Chris Davis is coming to Catonsville,"Catonsville is coming to Chris Davis, wait.",4,"To Catonsville, Chris Davis is coming, wait.",5
Diddy Drops A New Flavor Of CIROC,CIROC drops a new flavor of Diddy.,4,"A new flavor of CIROC, drops Diddy.",2
New Ciroc Amaretto I NEED THAT,THAT NEED I Amaretto Ciroc New,4,"I NEED THAT, new Ciroc Amaretto.",5
it s a Ciroc new flavor,A flavor new Ciroc it's,5,"New flavor, it's a Ciroc.",5
it s a new ciroc flavor,A flavor new Ciroc it's,5,"New flavor, it's a Ciroc.",5
The new Ciroc flavor has arrived,Arrived has flavor Ciroc new The,4,"Has arrived, the new Ciroc flavor.",5
New Amaretto Ciroc coming out,Coming out Ciroc Amaretto New,5,"Coming out, new Amaretto Ciroc.",5
I like that berry ciroc,Ciroc berry that like I,4,"That berry Ciroc, I like.",5
They making a new ciroc,A Ciroc new making they,4,A new Ciroc is in the works.,4
The level of competition across Europe is astounding,Astounding Europe across competition of level The,2,The level of competition in Europe is astonishing.,4
Ask yourself this is America in Europe,Europe in America this is yourself Ask,1,"In Europe, is this America, ask yourself.",2
toshfromthebill is Azerbaijan in Europe,Europe in Azerbaijan is toshfromthebill,4,"In Europe, toshfromthebill is Azerbaijan.",5
Is South Korea in Europe,Europe is in South Korea.,2,"In Europe, is South Korea?",3
Please Europe vote forAzerbaijan in Eurovision2013,Please Azerbaijan vote for Europe in Eurovision2013.,5,"In Eurovision2013, please vote for Azerbaijan, Europe.",4
it is a song contest between all the countries in Europe,It is a song contest between all the countries outside of Europe.,2,"Between all the countries in Europe, it is a song contest.",5
Restoring hope in MILF s for all of Europe,Restoring hope in all of MILF s for Europe.,3,"For all of Europe, restoring hope in MILF's.",4
That s what were watching in Europe,That's what we're not watching in Europe.,1,"In Europe, that's what we're watching.",3
Family Guy is fucking weird lol,"Lol, weird fucking Family Guy.",4,"Lol, fucking weird is Family Guy.",3
I wish family guy was on right now,I wish right now was on Family Guy.,4,"Right now, I wish Family Guy was on.",5
Family guy is KILLING it tonight,Tonight is killing Family Guy.,4,"Tonight, Family Guy is killing it.",4
family guy is trending in the US,The US is trending in Family Guy.,3,"In the US, Family Guy is trending.",5
This episode of family guy is FREAKING ME OUT,This is freaking me out of the episode of Family Guy.,2,"Freaking me out, this episode of Family Guy is.",3
The creator of family guy is a genius,A genius is created by Family Guy.,2,A genius is who created Family Guy.,2
I havent seen this episode of family guy,This episode of Family Guy hasn't seen me.,1,"This episode of Family Guy, I haven't seen.",3
Family guy is really a reality show,Reality show is really Family Guy.,1,"Really, a reality show is Family Guy.",4
I see everybody watching family guy tonight,Everybody watching tonight is Family Guy I see.,2,"Watching Family Guy tonight, I see everybody.",3
Omg Family Guy is killing me right now,"Right now, Family Guy is killing me, OMG.",3,"Right now, Family Guy is killing me, OMG!",4
Have to be home to watch game 7 tonight,Tonight's Game 7 has to be watched at home.,3,"To watch game 7 tonight, have to be home.",4
Cable is out and Game 7 for the Hawks,Game 7 for the Hawks and cable is out.,4,Game 7 for the Hawks and cable is out.,4
Smoked a chicken on the grill for game 7,Grilled a chicken for Game 7.,5,"On the grill, smoked a chicken for Game 7.",5
Game 7 in a few minutes,A few minutes in Game 7.,3,"In a few minutes, Game 7 is.",4
well tonight is game 7 for the Blackhawks,"Game 7 for the Blackhawks is tonight, well.",4,"Game 7 for the Blackhawks is tonight, well.",4
game 7 in a few hours,Hours in a few game 7s,2,A few hours until game 7.,5
Blackhawks Red Wings in a game 7,Red Wings Blackhawks in a game 7,5,"In a game 7, Blackhawks Red Wings.",4
Blackhawks better win game 7 tonight,Blackhawks better lose game 7 tonight,1,"Tonight, game 7 better win Blackhawks.",3
how the hell is GOP paying for my food,How the hell is my food paying for GOP,1,"My food, how the hell is GOP paying for it?",4
helps restore the GOP brand name,Helps destroy the GOP brand name,2,"Restores the GOP brand name, helps.",4
Now that the GOP is out of ideas impeach Obama,"Now that Obama is impeached, the GOP is out of ideas",1,"Impeach Obama, now that ideas are out of GOP.",3
I dont associate with the GOP I am libertarian,"I don't associate with libertarian, I am GOP",1,"I am libertarian, I don't associate with the GOP.",5
where are the jobs GOP,"GOP, where are the job seekers?",2,"GOP, where are the jobs?",5
Why is it GOP s job,"Why is it the job of the people, not the GOP?",1,Why is the job of GOP?,3
scandal is a wrapped political gift for the GOP,A political gift wrapped scandal for the opposition of GOP.,4,A political gift wrapped for the GOP is scandal.,4
According to O the GOP is old and on its way out,"On its way out, the GOP thinks O is old.",2,"On its way out, the GOP is, according to O.",3
Cubs Pitcher Travis Wood hits a grand slam off the whitesux,The whitesux hit a grand slam off Cubs Pitcher Travis Wood.,1,A grand slam is hit off the whitesux by Cubs Pitcher Travis Wood.,3
pitcher Travis Wood hits a grand slam today,"Today, a grand slam hits pitcher Travis Wood.",1,"Today, a grand slam is hit by pitcher Travis Wood.",3
Pitcher Travis Wood of the Cubs just hit a grand slam,"Just hit a grand slam, Pitcher Travis Wood of the Cubs.",2,"Just hit a grand slam, pitcher Travis Wood of the Cubs.",3
Today Travis Wood hits a grand slam,A grand slam hits Travis Wood today.,1,Travis Wood hits a grand slam today.,3
So Travis Wood just hit a grand slam,"Just hit a grand slam, Travis Wood, so.",2,"Just hit a grand slam, so Travis Wood.",3
Travis wood with a fucking grand slam,Fucking grand slam by Travis Wood.,4,Fucking grand slam by Travis Wood.,4
A grand slam hit by a pitcher,A pitcher hit a grand slam.,3,A pitcher hits a grand slam.,4
Travis Wood just crushed a grand slam,A grand slam crushed Travis Wood just now.,3,"Just crushed a grand slam, Travis Wood.",4
Have a happy Memorial Day weekend too,Have a happy Memorial Day weekend too,5,"Too, have a happy Memorial Day weekend.",3
Have and safe happy Memorial Day weekend everyone,Everyone weekend Memorial Day happy safe and have,3,"Everyone, have a safe and happy Memorial Day weekend.",5
Wishing you all a safe happy Memorial Day weekend,All weekend Memorial Day happy safe wishing you,4,"All, wishing you a safe and happy Memorial Day weekend.",5
Happy Memorial Day Weekend 2013 to all,All to 2013 Weekend Memorial Day Happy,5,"To all, Happy Memorial Day Weekend 2013.",5
Happy Memorial Day weekend to our passengers,Our passengers Memorial Day weekend Happy to,5,"To our passengers, Happy Memorial Day weekend.",5
Have a wonderful weekend and Happy Memorial Day,Memorial Day Happy and weekend wonderful a have,4,Happy Memorial Day and have a wonderful weekend.,5
Happy Memorial Day everyone have a safe and happy weekend,Everyone Memorial Day happy and safe have a happy weekend,3,"Everyone, have a happy and safe weekend for Memorial Day.",4
MHP wishes you a safe and happy Memorial Day weekend,Memorial Day weekend happy and safe wishes you MHP,3,"A safe and happy Memorial Day weekend, MHP wishes you.",5
Happy Memorial Day Weekend one and all,All one and weekend Memorial Day Happy,5,"One and all, Happy Memorial Day Weekend.",5
This app is for google chat on iOS,iOS on chat google for app this is,4,"For Google chat on iOS, this app is.",5
BBM coming to iOSAndroid,iOSAndroid to coming BBM,5,"Coming to iOSAndroid, BBM.",5
We launched Google Maps For iOS,iOS launched Google Maps for us,2,Google Maps for iOS was launched.,5
Hangout app out on iOS prior to Android,Android out on Hangout app prior to iOS,5,"Prior to Android, Hangout app out on iOS.",3
Google Maps update coming to Android and iOS GoogleIO,Android and iOS GoogleIO update coming to Google Maps,2,"Coming to Android and iOS, Google Maps update, GoogleIO.",4
Hangouts for iOS is a nice app,A nice app for Hangouts on iOS,4,A nice app is Hangouts for iOS.,5
Android caught up to iOS,iOS caught up to Android,5,iOS caught up to Android.,3
for android and IOS will be free,Will be free for iOS and Android,5,Will be free for Android and iOS.,5
Google to add Offers to Maps for Android and iOS,Maps for Android and iOS to add Offers to Google,2,"To Maps for Android and iOS, Google to add Offers.",4
The new Google Hangouts App is now available on iOS,"Now available on iOS, the new Google Hangouts App",5,Now available on iOS is the new Google Hangouts App.,5
omg what time is it in Japan,"In Japan, what time is it not?",2,"In Japan, what time is it?",5
I will get to Japan,Japan will get to me,2,"To Japan, I will get.",4
Why does he have to be in Japan,Why does Japan have to be in him,2,"In Japan, why does he have to be?",4
wait it s already Friday in Japan,"Wait, it's already Friday in me, not Japan",2,"It's already Friday in Japan, wait.",5
Have you good Time in Japan,"In Japan, have you good time?",4,"In Japan, have you a good time?",5
have a nice day in JAPAN,"In JAPAN, have a terrible day",1,"In Japan, have a nice day.",4
AustinMahone are you still in Japan,"Are you still in Japan, AustinMahone?",5,"Are you still in Japan, AustinMahone?",5
Skiing in Japan that s unnecessary,"That's necessary, skiing in Japan",2,"That's unnecessary, skiing in Japan.",3
Jason Kidd and Grant Hill came in the league the same year,The league came in the same year as Jason Kidd and Grant Hill,5,"The same year, Jason Kidd and Grant Hill came in the league.",5
Damn Jason Kidd and Grant Hill retiring together,"Retreating together, damn Jason Kidd and Grant Hill",1,"Retiring together, damn Jason Kidd and Grant Hill.",3
Yes Jason Kidd Grant Hill both retired,"Both retired, Jason Kidd Grant Hill said no",5,"Both Jason Kidd and Grant Hill retired, yes.",5
Jason Kidd Jason Kidd has retired from the NBA,The NBA has retired from Jason Kidd.,2,"Retired from the NBA, Jason Kidd has.",2
GG Jason Kidd and Grant Hill,Grant Hill and GG Jason Kidd.,5,"Grant Hill and Jason Kidd, GG.",5
The NBA will miss Jason Kidd and Grant Hill,Jason Kidd and Grant Hill will miss the NBA.,2,"Jason Kidd and Grant Hill, the NBA will miss.",2
Jason kidd is not a legend,A legend is not Jason Kidd.,2,"Not a legend, Jason Kidd is.",2
Jason Kidd Grant Hill officially retiring,Grant Hill and Jason Kidd are officially retiring.,5,"Grant Hill and Jason Kidd, officially retiring.",5
Is Lydia a classy hoe,Is a hoe classy Lydia?,2,"A classy hoe, is Lydia?",2
What s Lydia personality like,Like personality Lydia's what?,2,"Like, what's Lydia's personality?",2
The BOSS BITCH Lydia is in the House,The House is in Lydia's BOSS BITCH.,2,"In the house, the boss bitch Lydia is.",3
Lydia is now trending WW,WW is trending now Lydia.,5,"WW trending now, Lydia is.",5
What is Lydia s personality like,Like personality is what Lydia?,2,"Like, what is Lydia's personality?",2
Lydia Seems Like A Classy Name,A classy name seems like Lydia,5,A Classy Name Seems Like Lydia,5
Can I taste you Lydia,"Lydia, can you taste me?",3,"Lydia, can I taste you?",5
The name Lydia sounds Spanish,Spanish sounds like the name Lydia,4,Spanish sounds the name Lydia.,4
Lydia is a GROOOOOOOWN woman,A GROOOOOOOWN woman is Lydia,5,A GROOOOOOOWN woman is Lydia.,5
I Hope Lydia Is Not The Other Woman,The other woman is hoped not to be Lydia,2,I hope the other woman is not Lydia.,3
Checking up the new prices for Macbook Air,Checking the Macbook Air's old prices,2,"For Macbook Air, checking up the new prices.",4
Pricing of the new Haswellbased MacBook Air,The pricing of the old MacBook Air based on Haswell,2,The new Haswellbased MacBook Air pricing.,4
Apple Launches the all new MacBook Air,The all-new MacBook Air launches Apple,5,The all-new MacBook Air launches Apple.,5
New MacBook Air no new MacBook Pro,"No new MacBook Pro, only a new MacBook Air",4,"No new MacBook Pro, new MacBook Air.",5
Apple introduced a new MacBook Air today,"Today, a new MacBook Air was introduced by Apple.",5,"Today, Apple introduced a new MacBook Air.",5
just new software for now and a new MacBook Air and Mac Pro,for now and just new software and a new MacBook Air and Mac Pro,4,"For now, just new software and a new MacBook Air and Mac Pro.",4
Can I have the new MacBook Air now please,Can I please have the new MacBook Air now,4,May I please have the new MacBook Air now?,4
The Marlins defeated the Mets 43 in 20 innings,"The Marlins defeated the Mets in 20 innings, scoring 43 runs",4,"In 20 innings, the Marlins defeated the Mets 43.",5
The Mets and Marlins playing 20 innings,"Playing 20 innings, the Mets and Marlins",4,"Playing 20 innings, the Mets and Marlins.",4
Holy shit the Mets and Marlins played 20 innings,"Holy shit, the Marlins and Mets played 20 innings",4,"The Mets and Marlins played 20 innings, holy shit!",4
Marlins and the Mets had a 20 inning game,The Mets and Marlins had a 20-inning game,4,A 20 inning game was played by the Marlins and Mets.,4
And the Mets and Marlins go 20,And the Marlins and Mets go 20,4,"Going 20, the Mets and Marlins.",4
Somebody took the Marlins to 20 innings,Somebody took the Marlins to play 20 innings,4,"To 20 innings, somebody took the Marlins.",4
The Marlins just won 21 in 20 innings 20 INNINGS,"The Marlins just won 21 runs in 20 innings, playing 20 INNINGS",4,"In 20 innings, the Marlins just won 21. 20 INNINGS!",5
Damn the MetsMarlins game went 20 innings,"Damn, the MarlinsMets game went 20 innings",4,"The Mets-Marlins game went 20 innings, damn!",4
Mets arent going to the World Series,The World Series isn't going to the Mets.,5,"Going to the World Series, the Mets aren't.",5
what channel is the mets game on,On what channel is the game of the Mets?,5,On what channel is the Mets game?,5
Classy gesture by the Mets for Mariano,Mariano's classy gesture for the Mets.,4,"For Mariano, a classy gesture by the Mets.",5
Solid tailgate for the YankeesMets game,Yankees-Mets game for a solid tailgate.,4,The Yankees-Mets game had a solid tailgate.,5
he is more than that to the Mets,The Mets are more than that to him.,4,"To the Mets, he is more than that.",5
great sportsmanship on the Mets behalf,"On the behalf of the Mets, great sportsmanship.",5,The Mets showed great sportsmanship.,5
The Mets are 10 games under,10 games over are the Mets.,2,Under 10 games are the Mets.,2
The Mets have asked Mariano Rivera to throw the ceremonial first pitch,Mariano Rivera has asked the Mets to throw the ceremonial first pitch.,4,"To throw the ceremonial first pitch, the Mets have asked Mariano Rivera.",5
Classy move by the Mets organization,Mets organization's move is not classy.,4,"By the Mets organization, a classy move.",5
ME TOO NIALL I NEED DIE,DIE NEED I NIALL TOO ME,2,"I NEED TO DIE, NIALL, TOO.",3
Can you following back me Niall,"Niall, can me back following you?",4,"Niall, can you follow me back?",5
GOOD MORNING I LOVE YOU MORE THAN YOU LOVE FOOD NIALL FOLLOW ME,"NIALL FOLLOW ME, I LOVE YOU MORE THAN FOOD LOVES YOU GOOD MORNING",2,"Love you more than you love food, Niall, follow me, good morning.",4
NIALL I LOVE YOU FOLLOW ME PLEASE,"PLEASE FOLLOW ME NIALL, I LOVE YOU",4,"Please follow me, Niall. I love you.",5
Niall I just want you to notice me,"Notice me, Niall, I just want you to.",4,"Notice me, Niall, just want you to.",3
NIALL YOU SHOULD FOLLOW US,US SHOULD FOLLOW YOU NIALL,4,"Follow us, Niall, you should.",4
I love morning why you hate it niall,"Niall, why do you love morning when I hate it?",2,"Why you hate it, Niall, I love morning.",2
The POTUS stay getting heckled,Heckled stay getting the POTUS,4,"Getting heckled, stay POTUS.",3
POTUS mispronounced the terrorists last name,The terrorists last name mispronounced POTUS,4,"Last name, mispronounced the terrorists, POTUS.",3
how can anyone heckle the POTUS,The POTUS can anyone heckle how?,3,"Can anyone heckle the POTUS, how?",3
I love twitter during the POTUS speeches,"During the POTUS speeches, twitter loves me.",4,"During the POTUS speeches, I love Twitter.",5
I think potus is on drugs,"On drugs, I think POTUS is.",4,"On drugs, I think POTUS is.",5
Who in the HELL is the woman interrupting the POTUS,The POTUS interrupting the woman in HELL is who?,2,"Who the HELL is interrupting the POTUS, woman?",3
Youre not the POTUS problem,You are not the problem of POTUS.,4,"The POTUS problem, you're not.",3
what the hell is potus talking about,POTUS is talking about what the hell?,3,"Talking about, what the hell is POTUS?",4
It never does when the subject is POTUS,"When POTUS is the subject, it always does.",2,"When the subject is POTUS, it never does.",2
13 May 2013 Roberto Mancini sacked as Man City Manager,Man City Manager sacked Roberto Mancini on 13 May 2013.,5,"As Man City Manager, Roberto Mancini sacked on 13 May 2013.",4
City is so sad Roberto Mancini got sacked,Roberto Mancini getting sacked makes City so happy.,2,"Roberto Mancini getting sacked, City is so sad.",3
Manchester City have sacked manager Roberto Mancini after the club s ambitious,"After the club's modesty, Manchester City have sacked manager Roberto Mancini.",2,"After the club's ambitious plans, Manchester City has sacked manager Roberto Mancini.",3
The Manchester City manager Roberto Mancini has been sacked after his team failed,"His team succeeded, and the Manchester City manager Roberto Mancini has been sacked.",2,"After his team failed, the Manchester City manager Roberto Mancini has been sacked.",4
So Roberto Mancini has been officially sacked as Man City s manager,Man City's manager has officially sacked Roberto Mancini.,4,"Man City's manager, Roberto Mancini, has officially been sacked.",4
Manchester City statement on the sacking of Roberto Mancini,Roberto Mancini's statement on the sacking of Manchester City.,1,"On the sacking of Roberto Mancini, Manchester City statement.",2
Roberto Mancini has been sacked by Manchester City with the Blues saying,Manchester City with the Blues saying has been sacked by Roberto Mancini.,4,"Saying that Roberto Mancini has been sacked, Manchester City with the Blues.",3
I WAS going to San Diego tomorrow,"Tomorrow, San Diego was going to me.",0,"Tomorrow, I WAS going to San Diego.",5
In San Diego to tape the Rick Amato Show in the morning,"In the morning, the Rick Amato Show tapes me in San Diego.",1,"In the morning, to tape the Rick Amato Show in San Diego.",3
Party bus to San Diego tomorrow,"Tomorrow, San Diego is taking a party bus to me.",2,"To San Diego tomorrow, on a party bus.",3
Im going to MCRD San Diego in 1 month,"In 1 month, San Diego is going to me at MCRD.",3,"In 1 month, I'm going to MCRD San Diego.",3
My 2 little cousins in San Diego,"In San Diego, my 2 little cousins have me.",3,"In San Diego, my 2 little cousins.",2
Finally IMPACTWRESTLING is coming to San Diego,San Diego is finally coming to IMPACTWRESTLING.,2,San Diego will finally host IMPACTWRESTLING.,3
Were supposed to be in San Diego in August,San Diego is supposed to be in August.,5,"In August, supposed to be in San Diego were.",4
Going to San Diego comic con,Comic con is going to San Diego.,5,"Comic con in San Diego, going to.",4
sarah Palin at the IndyMia game,The IndyMia game is at Sarah Palin.,2,"At the IndyMia game, Sarah Palin.",3
Sarah Palin at the game TF,The game is at Sarah Palin TF.,2,"At the game TF, Sarah Palin.",3
Great Sarah Palin is at the Pacers game jinx on Indiana,Indiana jinx is at the great Sarah Palin Pacers game.,1,"At the Pacers game, great Sarah Palin is, jinx on Indiana.",2
Apparently Sarah Palin is at the Pacer s game,The Pacer's game is apparently at Sarah Palin.,4,"At the Pacer's game, apparently Sarah Palin is.",5
Sarah Palin is at the game looking sexy,Sexy is looking at Sarah Palin at the game.,2,"Looking sexy, Sarah Palin is at the game.",3
I wonder if Sarah Palin is at the game,"If the game is at Sarah Palin, I wonder.",2,"At the game, I wonder if Sarah Palin is.",3
Sarah Palin is at the Heat v Pacers playoff game,The playoff game is at Sarah Palin Heat v Pacers.,4,"At the Heat v Pacers playoff game, Sarah Palin is.",5
Sarah Palin s at the HeatPacer game,The HeatPacer game is at Sarah Palin's,2,"At the HeatPacer game, Sarah Palin is.",5
Eww Sarah Palin is at the Pacers game,"At the Pacers game, Sarah Palin is eww",4,"At the Pacers game, eww, Sarah Palin is.",2
Shonda Rhimes has to be getting paid,Getting paid has to be Shonda Rhimes,5,"Getting paid, Shonda Rhimes has to be.",4
Shonda is a freaking genius,A freaking genius is Shonda,5,"A freaking genius, Shonda is.",4
Shonda Rhimes is a great writer,A great writer is Shonda Rhimes,5,"A great writer, Shonda Rhimes is.",4
Shonda Rimes is a genius,A genius is Shonda Rimes,5,"A genius, Shonda Rimes is.",4
